y_true,y_pred,abs_error,abs_error_percetage,nll,v,alpha,beta,abs_error_percentage
7.26,7.539233,0.27923320770263693,0.27923320770263693,-2.2132924,0.008341466,1.0085746,1.2027977e-05,3.846187433920619
-73.0,-70.328896,2.6711044311523438,2.6711044311523438,-0.031960785,0.00409809,1.3704221,1.7264183e-06,3.659047165962115
-90.0,-86.70826,3.2917404174804688,3.2917404174804688,-0.9016969,0.0029195328,1.0420089,7.4370996e-06,3.6574893527560763
81.0,83.65716,2.6571578979492188,2.6571578979492188,-1.200666,0.00025959715,1.0000076,1.0104324e-06,3.2804418493200234
-89.0,-86.125145,2.8748550415039062,2.8748550415039062,-1.1030941,0.0032630367,1.0490128,8.653425e-06,3.2301742039369734
7.0,7.2216406,0.22164058685302734,0.22164058685302734,-3.2162583,0.0048556225,1.2381144,1.0497131e-06,3.1662940979003906
-138.0,-133.77307,4.2269287109375,4.2269287109375,-0.71771353,0.0004806812,1.0046097,2.8080153e-06,3.0629918195199277
35.0,36.050484,1.0504837036132812,1.0504837036132812,-2.0664377,0.0009987169,1.0034231,1.0093411e-06,3.0013820103236606
81.0,83.3524,2.3524017333984375,2.3524017333984375,-1.2932361,0.00024335437,1.000012,1.0053317e-06,2.9041996708622686
-66.0,-67.90129,1.9012908935546875,1.9012908935546875,-1.5024911,0.0039113467,1.0839323,4.1857106e-06,2.880743778113163
-91.0,-88.383125,2.6168746948242188,2.6168746948242188,-0.9405772,0.0025996917,1.1185551,2.665436e-06,2.8756864778288116
33.0,33.945038,0.945037841796875,0.945037841796875,-2.2023213,0.0015297213,1.0029743,1.0466118e-06,2.863751035748106
-43.0,-44.22705,1.22705078125,1.22705078125,-1.6157309,0.0010598106,1.0003746,3.99265e-06,2.853606468023256
42.0,43.14171,1.1417083740234375,1.1417083740234375,-2.0310464,0.0011927494,1.0015022,1.031919e-06,2.718353271484375
-39.0,-37.94394,1.056060791015625,1.056060791015625,-1.8333737,0.016972704,1.9582486,4.789175e-06,2.7078481820913463
-39.0,-37.946075,1.053924560546875,1.053924560546875,-1.8877842,0.016582357,1.9016389,4.9042546e-06,2.70237066806891
-104.0,-101.18965,2.8103485107421875,2.8103485107421875,-0.93975633,0.0006834915,1.2312216,1.0239888e-06,2.7022581834059496
-78.0,-75.913414,2.0865859985351562,2.0865859985351562,-1.3853257,0.0056156605,1.052767,2.3845312e-05,2.675110254532252
-21.0,-20.439106,0.5608940124511719,0.5608940124511719,-0.6417712,0.0021109374,1.0000501,7.248637e-05,2.670923868815104
-75.0,-77.00078,2.0007781982421875,2.0007781982421875,-0.6550418,0.0021370049,1.0016292,6.5830034e-05,2.6677042643229165
-52.0,-50.613102,1.3868980407714844,1.3868980407714844,-1.8606316,0.00903552,1.293812,6.560275e-06,2.6671116168682394
-90.0,-87.623985,2.3760147094726562,2.3760147094726562,-0.90429974,0.0024281214,1.1952031,1.721892e-06,2.640016343858507
14.0,14.354781,0.3547811508178711,0.3547811508178711,-3.0015292,0.003203625,1.3395673,1.006426e-06,2.534151077270508
7.26,7.0786963,0.18130374908447244,0.18130374908447244,-2.6236165,0.0072167963,1.0155135,4.6323494e-06,2.4972968193453506
-85.0,-87.122604,2.1226043701171875,2.1226043701171875,-1.4251878,0.0024087515,1.0287633,6.721298e-06,2.4971816119025734
-45.0,-43.8771,1.1228981018066406,1.1228981018066406,-2.1146932,0.0122332005,1.3361332,8.148679e-06,2.495329115125868
-50.0,-51.221687,1.2216873168945312,1.2216873168945312,-1.9794004,0.008529508,1.3639885,4.6909654e-06,2.4433746337890625
14.0,14.34061,0.3406095504760742,0.3406095504760742,-2.94654,0.0043071317,1.0444314,1.1575193e-06,2.432925360543387
-104.0,-101.48136,2.5186386108398438,2.5186386108398438,-1.1007469,0.00085450616,1.1354418,1.0885166e-06,2.4217678950383115
10.0,10.2409315,0.24093151092529297,0.24093151092529297,-3.2480214,0.0031237607,1.8620107,1.0018891e-06,2.4093151092529297
14.0,14.334891,0.33489131927490234,0.33489131927490234,-3.0200083,0.003167144,1.3537048,1.0058794e-06,2.392080851963588
-104.0,-101.53426,2.4657363891601562,2.4657363891601562,-1.150391,0.00074687495,1.2188674,1.0349638e-06,2.370900374192458
12.0,12.282027,0.2820272445678711,0.2820272445678711,-3.0507834,0.0052914205,1.0587181,1.2455548e-06,2.3502270380655923
-11.0,-10.743844,0.25615596771240234,0.25615596771240234,-2.0206847,0.0066398033,1.0077512,1.4317319e-05,2.328690615567294
-39.0,-38.123837,0.8761634826660156,0.8761634826660156,-2.2488956,0.016599784,1.9199088,4.8101415e-06,2.246573032476963
7.26,7.098033,0.16196704864501932,0.16196704864501932,-2.9504335,0.0067693866,1.0353309,2.2702286e-06,2.230951083264729
